Frame: 	Blockiness: 	SA: 	Letterbox: 	Pillarbox: 	Blockloss: 	Blur: 	TA: 	Blackout: 	Freezing: 	Exposure(bri): 	Contrast: 	Interlace: 	Noise: 	Slice: 	Flickering:
00152 	0.94339 	90.41726 	0.00000 	0.00000 	3.50000 	3.522 	3.82727 	0 	0 	125    	65.94525 	0.00139 	0.3156   	36.179  	0.73929
00153 	0.94575 	90.28632 	0.00000 	0.00000 	4.00000 	3.581 	3.95042 	0 	0 	125    	65.92013 	0.00104 	0.3164   	33.389  	-1.00000
00154 	0.92654 	90.54518 	0.00000 	0.00000 	3.90000 	3.523 	3.80231 	0 	0 	125    	65.91508 	0.00118 	0.3167   	32.586  	-1.00000
00155 	0.93283 	90.46012 	0.00000 	0.00000 	3.70000 	3.534 	3.76267 	0 	0 	125    	65.92307 	0.00104 	0.3134   	31.106  	-1.00000
00156 	0.94042 	90.27727 	0.00000 	0.00000 	3.10000 	3.594 	4.06535 	0 	0 	125    	65.94769 	0.00153 	0.3132   	28.925  	-1.00000
00157 	0.93629 	90.56351 	0.00000 	0.00000 	3.50000 	3.554 	3.85117 	0 	0 	125    	65.99399 	0.00160 	0.3154   	29.372  	-1.00000
00158 	0.94758 	90.32292 	0.00000 	0.00000 	3.70000 	3.595 	3.83023 	0 	0 	125    	66.01071 	0.00146 	0.3115   	26.885  	-1.00000
00159 	0.95557 	90.28256 	0.00000 	0.00000 	3.80000 	3.631 	3.95279 	0 	0 	125    	66.02374 	0.00097 	0.3116   	29.741  	-1.00000
00160 	0.94448 	90.58437 	0.00000 	0.00000 	4.00000 	3.565 	3.97711 	0 	0 	125    	66.03895 	0.00111 	0.3122   	29.647  	0.75579
00161 	0.96342 	90.43286 	0.00000 	0.00000 	4.10000 	3.615 	3.93441 	0 	0 	125    	65.99868 	0.00111 	0.3127   	29.097  	-1.00000
